,,,
Reading Ranges,,,
Reading: description,,,
min,max,score,
1,1,2,
2,3,3,
4,4,4,
5,6,5,
7,9,6,
10,14,7,
15,28,8,
29,100,9,
Reading: Reading,,,
min,max,score,
1,1,2,
2,3,4,
4,5,5,
6,9,6,
10,16,7,
17,26,8,
27,100,9,
,,,
No reading description ranges,,,
min,max,score,
1,1,2,remove this line
2,3,4,
4,4,6,
5,6,10,
7,9,12,
10,14,14,
15,28,16,
29,100,18,
,,,
Duration ranges,,,
min,max,score,
0,0.25,1,
0.251,0.5,2,
0.51,2,3,
2.01,9.5,4,
9.51,30.5,5,
30.51,60.5,6,
60.51,100,7,
,,,
Severity ranges (No reading description ranges),,,
min,max,label,
0,10,very mild,
11,12,mild,
13,16,moderate,
17,18,severe,
19,25,very severe,
,,,
Severity ranges (Reading),,,
min,max,label,
0,11,very mild,
12,13,mild,
14,17,moderate,
18,19,severe,
20,25,very severe,
